identifier,files_changed,edit_locations,lines_added,lines_removed
Chart-1,1,1,1,1
Chart-10,1,1,1,1
Chart-11,1,1,1,1
Chart-12,1,1,1,1
Chart-13,1,1,1,1
Chart-14,2,4,0,12
Chart-15,1,2,0,5
Chart-16,1,2,3,3
Chart-17,1,1,1,2
Chart-18,2,3,3,11
Chart-19,1,2,0,6
Chart-2,1,2,0,14
Chart-20,1,1,1,1
Chart-21,1,3,0,39
Chart-22,1,4,3,32
Chart-23,1,1,0,19
Chart-24,1,1,1,1
Chart-25,1,6,2,14
Chart-26,1,1,0,2
Chart-3,1,1,0,2
Chart-4,1,2,0,2
Chart-5,1,1,1,5
Chart-6,1,1,1,8
Chart-7,0,1,2,2
Chart-8,1,1,1,1
Chart-9,1,1,1,1
Cli-1,1,10,30,31
Cli-10,1,2,1,2
Cli-11,1,1,1,1
Cli-12,1,1,1,6
Cli-13,3,3,1,10
Cli-14,1,2,3,3
Cli-15,1,1,5,14
Cli-16,4,6,0,15
Cli-17,1,1,0,1
Cli-18,1,3,5,2
Cli-19,1,1,2,2
Cli-2,1,1,2,3
Cli-20,1,1,4,9
Cli-21,3,6,0,34
Cli-22,1,7,9,13
Cli-23,1,2,5,6
Cli-24,1,1,2,1
Cli-25,1,1,1,1
Cli-26,1,2,1,5
Cli-27,1,1,2,2
Cli-28,1,1,1,1
Cli-29,1,1,6,2
Cli-3,1,1,1,11
Cli-30,2,2,4,16
Cli-31,3,3,4,4
Cli-32,1,1,5,1
Cli-33,1,2,1,18
Cli-34,2,2,2,2
Cli-35,1,1,0,3
Cli-36,2,3,3,3
Cli-37,1,1,1,7
Cli-38,1,1,1,5
Cli-39,1,2,1,12
Cli-4,1,1,1,3
Cli-40,1,1,1,1
Cli-5,1,1,0,3
Cli-6,1,2,2,6
Cli-7,1,2,2,2
Cli-8,1,1,1,1
Cli-9,1,1,1,2
Closure-1,1,1,0,3
Closure-10,1,1,1,1
Closure-100,1,2,1,8
Closure-101,1,1,3,1
Closure-102,1,1,1,1
Closure-103,2,2,0,8
Closure-104,1,1,1,1
Closure-105,1,2,5,7
Closure-106,2,2,2,4
Closure-107,1,1,0,1
Closure-108,1,4,1,4
Closure-109,1,1,1,5
Closure-11,1,1,2,0
Closure-110,2,6,4,25
Closure-111,1,1,1,2
Closure-112,1,1,3,9
Closure-113,1,1,1,1
Closure-114,1,1,1,1
Closure-115,1,2,11,0
Closure-116,1,2,0,12
Closure-117,1,2,12,12
Closure-118,1,1,0,3
Closure-119,1,1,0,1
Closure-12,1,1,0,6
Closure-120,1,1,0,3
Closure-121,1,1,1,3
Closure-122,1,1,1,2
Closure-123,1,1,1,1
Closure-124,1,1,0,2
Closure-125,1,1,1,1
Closure-126,1,1,4,0
Closure-127,1,1,1,10
Closure-128,1,1,1,4
Closure-129,1,1,0,3
Closure-13,1,1,1,1
Closure-130,1,1,1,1
Closure-131,1,1,1,2
Closure-132,1,1,1,3
Closure-133,1,1,0,1
Closure-134,2,6,10,17
Closure-135,2,3,0,8
Closure-136,2,2,21,9
Closure-137,3,10,43,72
Closure-138,2,3,4,10
Closure-139,1,4,1,32
Closure-14,1,1,1,1
Closure-140,1,3,6,9
Closure-141,2,3,3,25
Closure-142,2,3,0,6
Closure-143,2,2,2,4
Closure-144,4,9,4,43
Closure-145,1,1,0,13
Closure-146,1,1,1,2
Closure-147,6,2,1,7
